"","phivec","prRangevec","tau2vec","sig2vec"
"1",258.521971769444,447.454581269418,0.00235075420849489,0.510158208056328
"2",187.99999999298,325.393856079614,0,0.18059341993653
"3",240.00000603548,415.396422478927,0,0.462683313994081
"4",144.000102392526,249.23802444161,0.0109254632010395,0.35458827527286
"5",436.505696682053,755.512084308017,0,2.85403737227444
"6",259.92632648508,449.885264228165,0,0.354957246595261
"7",362.000075146678,626.556384882151,0.0048810161268633,1.46385665135515
"8",296.00008259129,512.322384457886,0.00802617548659085,0.808465848647086
"9",222.000048087625,384.241764360954,0.0057366562824254,0.491481250256272
"10",457.961852623125,792.64879344959,0.0384028913710903,2.34567912780866
"11",161.289277124492,279.162445902856,0.0023157919785409,0.0840318708509168
"12",386.801083571503,669.482426192624,0.0354468792058746,2.62476910619284
"13",400.000029712792,692.327404816502,0,2.20362425401435
"14",308.000033190083,533.092119555103,0.00426628899812937,0.552609751202666
"15",127.74082776544,221.096173015036,0,0.0467520320156382
"16",286.000000765349,495.014058997266,0,0.360887605980358
"17",86.0000088098009,148.850396225205,0.00373823969131614,0.155479347974577
"18",181.999114201982,315.007412635405,0,0.119578966189768
"19",275.999998092631,477.705870536499,0,0.80325545517505
"20",355.999999089785,616.171342940614,0,0.46238350994811
"21",327.245946582454,566.40330026144,0.00107663271732173,0.00343500530896773
"22",398.000002706707,688.865721306918,0,0.761348423544259
"23",302.000000628288,522.707152895683,0,0.440598238751666
"24",290.000003578519,501.937337400264,0.00166029009077327,0.113215170085916
"25",184.807647869867,319.868474338395,0,0.150381047077732
"26",424.117321586064,734.07005695046,0,1.11272222025976
"27",218.023853552654,377.359693763541,0,0.636100805673843
"28",351.999990502707,609.248054544031,0,2.34611778630581
"29",224.000124986693,387.70353422623,0.0129044227408059,0.287954340775294
"30",241.597122129598,418.160740375175,0,0.00153055763555077
"31",236.000000084575,408.47313864508,0,0.967389583250882
"32",410.62971847586,710.725465538267,0,1.56457936365515
"33",268.000011137205,463.859346046465,0.00219625825694732,0.292062604791483
"34",191.320882557685,331.141700671975,0,0.00402471589183125
"35",354.000002316377,612.709711758303,0,0.821567293841791
"36",296.457200823138,513.113573096992,0.0741486385283762,2.04430866620948
"37",285.999997749798,495.014053777895,0,1.06391201495338
"38",112.000000677303,193.851660119746,0,0.0831482968314397
"39",242.408627057514,419.565308022695,0.00158670020491173,0.0409835658893534
"40",342.90509722346,593.506446060541,0.0197631324626315,1.55672476921854
"41",146.000001994877,252.699487438469,0,0.146119151524435
"42",287.743755811416,498.032182287281,0,0.87638945808028
"43",294.000001000037,508.860606471291,0,0.923016234083242
"44",318.000176262328,550.400551021954,0.0114547515111377,0.852226008920436
"45",292.008805803392,505.414209219844,0,1.49329581575988
"46",293.999966467862,508.860546702368,0,1.98509594262707
"47",499.10898023845,863.866998353503,0.0352809062198105,2.64888532804352
