"","phivec","prRangevec","tau2vec","sig2vec"
"1",209.454406158697,362.527536677835,0.0386019152275706,0.32724772717892
"2",148.539841223676,257.095487866752,0,0.120014093622267
"3",176.000000132324,304.624035719061,0,0.0512982017702413
"4",284.64750191755,492.673129127862,0.124959698374503,0.458611940085022
"5",266.49669577031,461.257380173279,0.0497964157960871,0.314532237992103
"6",213.677017004729,369.836109156421,0,0.0592821145217058
"7",205.88174169886,356.343903352752,0.0517543161577777,0.260251077906433
"8",244.751145462722,423.619781942065,0.0651495453375602,0.380834858492468
"9",240.400334711598,416.089318710985,0.0486659849859196,0.553336350997864
"10",236.818070607618,409.889070145345,0.0957945691181394,0.616265476741816
"11",144.000004535883,249.237855069534,0.000574355232877254,0.092296223258234
"12",267.916997663874,463.715664800747,0.0801859519234991,0.495534433427973
"13",154.000040990045,266.546101999844,0.0134334190379021,0.315173813731934
"14",168.000025625525,290.777532775339,0.00913525104449805,0.220274730085342
"15",99.4522507062826,172.133783798623,0,0.00699481843044853
"16",187.407824929292,324.368908593146,0.00948516972350275,0.0950143316009595
"17",143.740887496094,248.789370533594,0.0484394735580833,0.412141901735443
"18",150.000011781417,259.622777911104,0.00269699338304094,0.122659902889897
"19",188.000042880888,325.393930310793,0.00801302717396183,0.560567554444956
"20",208.000074578111,360.010352842485,0.00907216060571871,0.42438051054258
"21",178.000000265031,308.085672715708,0.0024897129401865,0.0317113693461934
"22",265.268992434848,459.132448670804,0.0463201191315128,0.7697620824891
"23",148.000007075239,256.161132998609,0.0032317262345023,0.0976050799184559
"24",180.000003444401,311.547314985574,0.00345977222687332,0.0705716029798437
"25",168.760365049218,292.093542227549,0.00427688268660986,0.0778732840270813
"26",268.000001302006,463.859329023521,0,0.303860315567788
"27",106.000011738319,183.46676896349,0,0.206210314283686
"28",189.718856890771,328.368885196877,0.0437069281520692,0.318395413775268
"29",222.316018658576,384.788652033794,0.0754415582980639,0.542097524745753
"30",193.275986875954,334.525631167652,0.00351182516356759,0.0348630145087225
"31",118.000001219881,204.236571359717,0,0.0540143880160838
"32",166.000057067791,287.315950429236,0.0103435437482013,0.289391890710823
"33",158.000011992188,273.469325343732,0.00355363806710113,0.119636768814048
"34",159.104599787066,275.381166205271,0,0.00409373592005554
"35",254.000001496051,439.62787199069,0,0.343546493058746
"36",87.4831897453549,151.417513054486,0,0.215729880064263
"37",171.329676109259,296.540553043141,0.0416406908766402,0.216540335020842
"38",94.0000016330271,162.696930871334,0,0.0535479144737105
"39",208.232472749459,360.412591869741,0.00841302507908773,0.049126359438349
"40",166.046435664912,287.396223357732,0.055488176698584,0.342369128862374
"41",128.000011030247,221.544772174455,0.00379025361071889,0.156960619942996
"42",168.460338481707,291.57425072897,0.00687881527542812,0.082565165160843
"43",165.582817003367,286.593783655407,0.00605567313882881,0.0453994260778909
"44",247.602535850591,428.555020843859,0.0448524631093177,0.180013236123898
"45",118.000032955854,204.236626288922,0.0103612254636146,0.222858798971126
"46",176.825790099833,306.053328175716,0.0018814362176616,0.03227823814559
"47",206.325255781234,357.111545679856,0.0718710197839517,0.248159265492788
