"","x"
"1",1
"2",2
"3",3
"4",5
"5",6
"6",8
"7",10
"8",11
"9",14
"10",15
"11",16
"12",18
"13",19
"14",25
"15",29
"16",33
"17",34
"18",37
"19",41
"20",42
"21",46
