"","x"
"1",1
"2",7
"3",8
"4",14
"5",16
"6",17
"7",19
"8",20
"9",21
"10",24
"11",25
"12",27
"13",29
"14",30
"15",32
"16",33
"17",34
"18",37
"19",39
"20",40
"21",41
"22",44
